objectid,filename,title,date,creator,location,latitude,longitude,description,historical_background,dpla_record,dpla_collection,source_record,subject,digital_surrogate_provenance,photograph_provenance,rights,file_format,file_size,image_dimensions,original_digital_collection,image_location
101,dm1900s01.jpg,"Photograph of a woman with knitting, sitting in a chair, 1904",1904,Not specified,"NV, USA",39.876019,-117.224121,A photograph of a woman sitting in a rattan chair. She is holding knitting needles and a knitted garment lays on her lap.,"From the mid 19th to early 20th century, Nevada experienced two major precious metal booms (that involved gold, silver, and copper) that led to a major economic, population, and industry growth in the region. The first major boom lasted from 1860 to 1878, during which Nevada officially became a state in 1864. In merely a year’s time, from 1960 to 1961, Nevada’s population had tripled. The second major boom occurred during 1900 and 1923, which was marked by the establishment of large mining corporations such as Tonopah Mining Company and Goldfield Consolidated Mining Company, as well as the prevalence of silicosis, which is a form of lung disease that caused by inhaling silica or quartzite dust. The woman pictured in this photograph is likely a settler who came to Nevada during one of the precious mining booms.",https://dp.la/item/5db3bd92e081ed73e1f2b8916e5a54d8,"Nevada Mining Photograph Collection; University of Nevada, Las Vegas Digital Collections",https://special.library.unlv.edu/ark:/62930/d1fj29h13#,Home economics; Knitting; Women,UNLV Special Collections and Archives,UNLV Special Collections and Archives,"This material is made available to facilitate private study, scholarship, or research. It may be protected by copyright, trademark, privacy, publicity rights, or other interests not owned by UNLV. Users are responsible for determining whether permissions are necessary from rights owners for any intended use and for obtaining all required permissions. Acknowledgement of the UNLV University Libraries is requested. For more information, please see the UNLV Special Collections policies on reproduction and use (https://www.library.unlv.edu/speccol/research_and_services/reproductions) or contact us at special.collections@unlv.edu.; Copyright Not Evaluated",jpeg,"12,154,161 bytes",1741×2327,Nevada Mining Photograph Collection (PH-00361),/objects/dm1900s01.jpg
102,dm1900s02.jpg,"Utah Independent Telephone Company, Switchboard with Operators",1905,Harry Shipler,"Salt Lake City, UT, USA",39.41922,-111.950684,A photograph of a row of women working the switchboard at the Utah Independent Telephone Company.,"The Utah Independent Telephone Company was established in 1903 and had its headquarters in Salt Lake City, Utah. Initially, men and young boys were telephone switchboard operators, but the telephone industry later hired women as their main workforce, with Emma Nutt being the first woman operator in 1878. The first automated telephone system was developed in 1892, but, during the beginning of the 20th century, may telephone users relied on services that depended on the work of women switchboard operators. A typical switchboard operator did much more that simply connect phone calls. In addition to this basic service, an operator would get to know the lives of her typical telephone customers to know their particular needs, took messages for her customer’s when the recipient of the call was unavailable, and provided general information such as the time, sports scores, and weather.",https://dp.la/item/318f0df66f9697faa4f5ef495e9c5018,Shipler Commercial Photographers,https://collections.lib.utah.edu/details?id=523600,Telephone operators; Telephone switchboards; Women; Women employees,J. Willard Marriott Digital Library,Utah State Historical Society,Digital Image © 2001 Utah State Historical Society. All Rights Reserved.,jpeg,"60,092 bytes",700×571,"The Shipler Commercial Photographers Collection, 1903-1980",/objects/dm1900s02.jpg
103,dm1910s01.jpg,Japanese American woman at sewing machine,1911,Not specified,"Los Angeles, CA, USA",34.052235,-118.243683,Masue Shimoda seated next to her sewing machine.,"After the Chinese Exclusion Act of 1882 was passed in the U.S., which prohibited the immigration of all Chinese workers into the country for ten years, many Japanese immigrated to the U.S. to work the jobs that were no longer being filled by Chinese Americans, and Los Angeles was one of the most popular destinations for Japanese immigrants. After the earthquake in San Francisco in 1906, thousands of Japanese immigrants moved from Norther California down to Los Angeles. Japanese Americans in California were the victims of racism, xenophobia, and segregation. However, around 1910, Boyle Heights, which was one of the largest Japanese immigrant communities in Los Angeles, was a location in which Japanese Americans did not face as much discrimination (at least in regard to housing) as they did in other parts of California. It is unknown when Masue Shimoda or her family first immigrated to the United States.",https://dp.la/item/bc52ea28d173f9e0f03d3bd1d35cab79,Los Angeles Public Library Photo Collection,https://tessa2.lapl.org/digital/collection/photos/id/77661,Home economics; Japanese American women; Sewing; Women,Tessa Digital Collections of the Los Angeles Public Library,Los Angeles Public Library,"The contents of this collection are restricted to personal, research, and non-commercial use. The Library cannot share the personal and/or contact information of the donors, their descendants, or associates who contributed photographs and oral histories to the collection.",jpeg,"45,056 bytes",500×800,Shades of LA Photo Collection,/objects/dm1910s01.jpg
104,dm1910s02.jpg,Watertown Arsenal employees,1914,Not specified,"Watertown, MA, USA",42.3695,-71.1758,Three women working with metal parts at a table in the Watertown Arsenal during World War I.,"The Watertown Arsenal was founded in 1816 in Watertown, Massachusetts, and was part of Army operations until 1995. The Arsenal played a substantial role during the Civil War, World War I, and World War II. During World War I, the Arsenal almost tripled in size and owned one of the largest steel-framed structures in the country. During WWI, more than 5,000 men and women worked at the Arsenal. Since many men left the U.S. to fight in The Great War, women had to fill jobs typically held by men at the time.",https://dp.la/item/bc52ea28d173f9e0f03d3bd1d35cab79,Watertown Arsenal,https://www.digitalcommonwealth.org/search/commonwealth:rv042v01t,"Arsenals; Metal-work; Women; Women and war; Women employees; World War, 1914-1918",Digital Commonwealth Massachusetts Collections Online,Watertown Free Public Library,Management Restrictions apply. See application form at http://watertownlib.org/research/historic-watertown/photographs. Contact host institution for more information.,jpeg,"129,596 bytes",661×800,Watertown Arsenal,/objects/dm1910s02.jpg
105,aj1920s01.jpg,"Women working in Packard upholstery department, 1925",1925,Not specified,"Detroit, MI, USA",42.332939,-83.047836,Women working on seat cushions at the Packard Co. Upholstery Department.,The automobile industry was a major economic force in Michigan at this time. Packard was an American company that made and sold luxury cars.,https://dp.la/item/abe41edd8741caf6ae0f24a5564bc14e,Making of Modern Michigan,https://d.lib.msu.edu/mmm/6394,Women automobile industry workers; Automobile industry and trade--United States--History; Women; Packard automobile,MSU Libraries Digital Repository,Detroit Public Library,In Copyright,jpeg,"122,516 bytes",750×602,Making of Modern Michigan,/objects/aj1920s01.jpg
106,aj1920s02.jpg,Home Economics,1925,Not specified,"Fitchburg, MA, USA",42.580811,-71.795967,Students in a Home Economics class at Fitchburg State College.,Fitchburg State University was originally a woman's teaching college.,https://dp.la/item/8eb3fe058fe5fa894954a747d5959125,Fitchburg State University General Photograph Collection,https://www.digitalcommonwealth.org/search/commonwealth:k930c910h,Home economics; Women; Teachers college students; Home economics--Study and teaching; Women's colleges,Digital Commonwealth Massachusetts Collections Online,"Fitchburg State University, Gallucci-Cirio Library",This work is licensed for use under a Creative Commons Attribution Non-Commercial No Derivatives License (CC BY-NC-ND). Copyright is assigned to Fitchburg State University.,jpeg,"214,494 bytes",1092×800,Fitchburg State University General Photograph Collection,/objects/aj1920s02.jpg
107,aj1930s01.jpg,Apple Packing,1930,Not specified,"Yakima, WA, USA",46.60223,-120.506088,Women working on an apple packing line.,Apples are a major agricultural export of Washington state. Yakima is one of the nation's top producers in apples. ,https://dp.la/item/3073e6fca01661bd88bfa2ac23fe1bc4,Yakima Memory Project,https://archives.yvl.org/items/fc014dfb-d26d-414f-a741-a8da3e19590d,Apples--Packing; Apple industry; Women; Agricultural processing industry workers; Women in agriculture,Yakima Valley Libraries Digital Repository,Yakima Valley Museum,"This Work has been digitized in a public-private partnership. As part of this partnership, the partners have agreed to limit commercial uses of this digital representation of the Work by third parties. You can, without permission, copy, modify, distribute, display, or perform the Item, for non-commercial uses. For any other permissible uses, please review the terms and conditions of the organization that has made the Item available.",jpeg,"35,206 bytes",300×240,Yakima Valley Museum Photographs,/objects/aj1930s01.jpg
108,aj1930s02.jpg,Homemaking in 30s,1935,Not specified,"Wellesley, MA, USA",42.296928,-71.291862,Students in a Home Economics class at Pine Manor College.,Pine Manor was originally a junior college for Women in Massachusetts.,https://dp.la/item/6b4c6e8ca1cb786dc2d86208ae59cd69,Pine Manor College Administration Collection,https://www.digitalcommonwealth.org/search/commonwealth:rn301j07s,Home economics; Women; Home economics--Study and teaching; Women's colleges,Digital Commonwealth Massachusetts Collections Online,"Pine Manor College, Annenberg Library",Under copyright. All rights reserved.,jpeg,"241,074 bytes",1197×800,Pine Manor College Adminstration Collection,/objects/aj1930s02.jpg
109,ft1940s01.png,Tuberculosis Testing,1945,Lane Brothers,"Atlanta, GA, USA",33.8034,-84.3963,"View of unidentified women viewing on tuberculosis exam results as part of a program sponsored by the Atlanta Anti-Tuberculosis Association (later named Atlanta Lung Association) in Atlanta, Georgia.","The Atlanta Lung Association, (A.L.A.) was established in 1907 by the Fulton County Medical Society, and was first called the Fulton Sanitary and Tuberculosis Prevention Society. Over the years, the organization changed names several times. From 1909 to 1933 it was called Atlanta Anti-Tuberculosis and Visiting Nurse Association. From 1933 to 1951 it was called Atlanta Anti-Tuberculosis Association. From 1951 to 1973 it was called Atlanta Tuberculosis Association. Finally, in 1973 the name changed to Atlanta Lung Association. The A.L.A. was among the first organizations in Atlanta to offer treatment of tuberculosis to those unable to obtain sanatorium care. Another such organization was the Home Treatment Dispensary, which was administered by private charities. In 1909 the two organizations merged and formed the Atlanta Anti Tuberculosis and Visiting Nurse Association and established their headquarters on the top floor of the Gould building on Decatur Street. Private donations, fund-raising and city and county funds sustained the Association which served both white and black patients. It emphasized health education, early detection, and provided clinic and home care for the indigent and was staffed with paid professionals and volunteers. Atlanta physicians donated medical support in the clinics. During its time in operation, the national death rate from tuberculosis declined dramatically. Success in treating the disease dictated a change in direction to that of general respiratory illnesses; therefore in 1973 the Association changed its name to the Atlanta Lung Association.",https://dp.la/item/67ed316a9f194e12ad339a4663d93d44,Atlanta Lung Association Photograph Collection 1913-1972 (bulk 1945-1955),http://album.atlantahistorycenter.com/cdm/ref/collection/ALung/id/27,"Atlanta Lung Association; Tuberculosis--Georgia--Atlanta; Public health--Georgia--Atlanta; Communicable diseases--Georgia--Atlanta; Nonprofit organizations--Georgia--Atlanta; Tuberculosis--Diagnosis--Georgia--Atlanta; Medical screening--Georgia--Atlanta; Medical care--Georgia--Atlanta; Women--Georgia--Atlanta; Women's clothing--Georgia--Atlanta; Microscopes--Georgia--Atlanta; Radiography, Medical--Georgia--Atlanta; Radiography, Medical--Equipment and supplies; ",Digital Resources of the Kenan Research Center,Atlanta Lung Association photograph,"This material is protected by copyright law. (Title 17, U. S. Code) Permission for use must be cleared through The Kenan Research Center at the Atlanta History Center. Licensing agreement may be required.",jpeg,"892,199 bytes",1800×849,Atlanta Lung Association Photographs,/objects/ft1940s01.png
110,ft1940s02.jpg,Meter Readers,1942,Not specified,"Atlanta, GA, USA",33.8034,-84.3963,Employees of Atlanta Gas Light learn to read gas meters in 1942.,"During World War II, almost half of the company's workforce left to serve in the military, and women were hired to continue providing service to Atlanta Gas Light's customers, which grew to more than 123,000 by 1945.",https://dp.la/item/723eccd8939163f7a41f068e9cc432d5,New Georgia Encyclopedia,https://www.georgiaencyclopedia.org/articles/business-economy/atlanta-gas-light-company/m-9861/,Gas-meters--Georgia--Atlanta; Atlanta Gas Light Company--Employees; Atlanta Gas Light Company; Women employees--Georgia--Atlanta; Uniforms--Georgia--Atlanta; Gas companies--Georgia--Atlanta; Public utilities--Georgia--Atlanta; Women--Georgia--Atlanta; ,New Georgia Encyclopedia,New Georgia Encyclopedia (project),"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",jpeg,"279,923 bytes",2048×1590,New Georgia Encyclopedia,/objects/ft1940s02.jpg
